"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"157",3,0.33056,"RCE_Calb","L23","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"158",0,0.21738,"RCE_Calb","L4","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"159",33,0.41321,"RCE_Calb","L5","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"160",22,0.54795,"RCE_Calb","L6","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"161",1,0.1042,"CalbnegRCE","L1","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"162",19,0.33056,"CalbnegRCE","L23","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"163",41,0.21738,"CalbnegRCE","L4","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"164",35,0.41321,"CalbnegRCE","L5","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"165",21,0.54795,"CalbnegRCE","L6","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"166",2,0.12631,"RCE","L1","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"167",38,0.39641,"RCE","L23","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"168",33,0.2157,"RCE","L4","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"169",128,0.43528,"RCE","L5","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"170",70,0.59462,"RCE","L6","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"171",0,0.12631,"RCE_Calb","L1","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"172",5,0.39641,"RCE_Calb","L23","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"173",0,0.2157,"RCE_Calb","L4","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
"174",49,0.43528,"RCE_Calb","L5","171215_M83-154-3","171215_M83-153-3_002","Mafb+/fl","P21"
