"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"207","All",70,0,"111115-B2","111115-B1-s022","E16.5","Mafb+/+::SSTcre"
"208","MZ",22,0,"111115-B2","111115-B1-s024","E16.5","Mafb+/+::SSTcre"
"209","SVZ",23,0,"111115-B2","111115-B1-s024","E16.5","Mafb+/+::SSTcre"
"210","All",48,0,"111115-B2","111115-B1-s024","E16.5","Mafb+/+::SSTcre"
"211","MZ",28,0,"111115-B2","111115-B1-s026","E16.5","Mafb+/+::SSTcre"
"212","SVZ",30,0,"111115-B2","111115-B1-s026","E16.5","Mafb+/+::SSTcre"
"213","All",62,0,"111115-B2","111115-B1-s026","E16.5","Mafb+/+::SSTcre"
"214","MZ",28,0,"111115-B2","111115-B1-s028","E16.5","Mafb+/+::SSTcre"
"215","SVZ",28,0,"111115-B2","111115-B1-s028","E16.5","Mafb+/+::SSTcre"
"216","All",59,0,"111115-B2","111115-B1-s028","E16.5","Mafb+/+::SSTcre"
"217","MZ",19,0,"111115-B2","111115-B1-s030","E16.5","Mafb+/+::SSTcre"
"218","SVZ",41,0,"111115-B2","111115-B1-s030","E16.5","Mafb+/+::SSTcre"
"219","All",64,0,"111115-B2","111115-B1-s030","E16.5","Mafb+/+::SSTcre"
"220","MZ",19,0,"111115-B2","111115-B1-s032","E16.5","Mafb+/+::SSTcre"
"221","SVZ",29,0,"111115-B2","111115-B1-s032","E16.5","Mafb+/+::SSTcre"
"222","All",51,0,"111115-B2","111115-B1-s032","E16.5","Mafb+/+::SSTcre"
"223","MZ",23,0,"111115_B3","111115-B3-s016","E16.5","Mafb+/+::SSTcre"
"224","SVZ",24,0,"111115_B3","111115-B3-s016","E16.5","Mafb+/+::SSTcre"
"225","All",50,0,"111115_B3","111115-B3-s016","E16.5","Mafb+/+::SSTcre"
"226","MZ",16,0,"111115_B3","111115-B3-s018","E16.5","Mafb+/+::SSTcre"
"227","SVZ",20,0,"111115_B3","111115-B3-s018","E16.5","Mafb+/+::SSTcre"
"228","All",41,0,"111115_B3","111115-B3-s018","E16.5","Mafb+/+::SSTcre"
"229","MZ",25,0,"111115_B3","111115-B3-s020","E16.5","Mafb+/+::SSTcre"
"230","SVZ",31,0,"111115_B3","111115-B3-s020","E16.5","Mafb+/+::SSTcre"
"231","All",59,0,"111115_B3","111115-B3-s020","E16.5","Mafb+/+::SSTcre"
"232","MZ",36,0,"111115_B3","111115-B3-s024","E16.5","Mafb+/+::SSTcre"
"233","SVZ",31,0,"111115_B3","111115-B3-s024","E16.5","Mafb+/+::SSTcre"
"234","All",78,0,"111115_B3","111115-B3-s024","E16.5","Mafb+/+::SSTcre"
"235","MZ",19,0,"111115_B3","111115-B3-s026","E16.5","Mafb+/+::SSTcre"
"236","SVZ",23,0,"111115_B3","111115-B3-s026","E16.5","Mafb+/+::SSTcre"
"237","All",43,0,"111115_B3","111115-B3-s026","E16.5","Mafb+/+::SSTcre"
"238","MZ",26,0,"111115_B3","111115-B3-s028","E16.5","Mafb+/+::SSTcre"
"239","SVZ",24,0,"111115_B3","111115-B3-s028","E16.5","Mafb+/+::SSTcre"
"240","All",55,0,"111115_B3","111115-B3-s028","E16.5","Mafb+/+::SSTcre"
"241","MZ",32,0,"111115_B3","111115-B3-s030","E16.5","Mafb+/+::SSTcre"
"242","SVZ",42,0,"111115_B3","111115-B3-s030","E16.5","Mafb+/+::SSTcre"
"243","All",75,0,"111115_B3","111115-B3-s030","E16.5","Mafb+/+::SSTcre"
"244","MZ",31,0,"111115_B3","111115-B3-s034","E16.5","Mafb+/+::SSTcre"
