"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"197","SVZ",17,0.147036191547674,"B4C","210915-B4-WT-S022-1","E16.5","Neto1+/+"
"198","All",34,0.196171401285967,"B4C","210915-B4-WT-S022-1","E16.5","Neto1+/+"
"199","MZ",16,0.0572680712449552,"B4C","210915-B4-WT-S022-2","E16.5","Neto1+/+"
"200","SVZ",17,0.171050686481643,"B4C","210915-B4-WT-S022-2","E16.5","Neto1+/+"
"201","All",33,0.228318757726598,"B4C","210915-B4-WT-S022-2","E16.5","Neto1+/+"
"202","MZ",21,0.0673778952256984,"B4C","210915-B4-WT-S024","E16.5","Neto1+/+"
"203","SVZ",15,0.202598360816583,"B4C","210915-B4-WT-S024","E16.5","Neto1+/+"
"204","All",36,0.269976256042281,"B4C","210915-B4-WT-S024","E16.5","Neto1+/+"
"205","MZ",25,0.0746201293816759,"B4C","210915-B4-WT-S026","E16.5","Neto1+/+"
"206","SVZ",33,0.223860388145028,"B4C","210915-B4-WT-S026","E16.5","Neto1+/+"
"207","All",58,0.298480517526704,"B4C","210915-B4-WT-S026","E16.5","Neto1+/+"
"208","MZ",23,0.077069092954651,"B4C","210915-B4-WT-S028","E16.5","Neto1+/+"
"209","SVZ",27,0.230656785342848,"B4C","210915-B4-WT-S028","E16.5","Neto1+/+"
"210","All",50,0.307725878297499,"B4C","210915-B4-WT-S028","E16.5","Neto1+/+"
"211","MZ",27,0.0702632766661652,"B4C","210915-B4-WT-S032","E16.5","Neto1+/+"
"212","SVZ",27,0.211295321197533,"B4C","210915-B4-WT-S032","E16.5","Neto1+/+"
"213","All",54,0.281558597863698,"B4C","210915-B4-WT-S032","E16.5","Neto1+/+"
"214","MZ",29,0.0673464982568141,"B4C","210915-B4-WT-S034","E16.5","Neto1+/+"
"215","SVZ",27,0.201568540237178,"B4C","210915-B4-WT-S034","E16.5","Neto1+/+"
"216","All",56,0.268915038493992,"B4C","210915-B4-WT-S034","E16.5","Neto1+/+"
"217","MZ",36,0.0630199959445582,"B5C","210915-B5-WT-S002","E16.5","Neto1+/+"
"218","SVZ",32,0.188252039167719,"B5C","210915-B5-WT-S002","E16.5","Neto1+/+"
"219","All",68,0.251272035112277,"B5C","210915-B5-WT-S002","E16.5","Neto1+/+"
"220","MZ",14,0.0523073501612365,"B5C","210915-B5-WT-S004","E16.5","Neto1+/+"
"221","SVZ",12,0.15692205048371,"B5C","210915-B5-WT-S004","E16.5","Neto1+/+"
"222","All",26,0.209229400644946,"B5C","210915-B5-WT-S004","E16.5","Neto1+/+"
"223","MZ",25,0.0573769140704208,"B5C","210915-B5-WT-S006","E16.5","Neto1+/+"
"224","SVZ",28,0.171385587483075,"B5C","210915-B5-WT-S006","E16.5","Neto1+/+"
"225","All",53,0.228762501553496,"B5C","210915-B5-WT-S006","E16.5","Neto1+/+"
"226","MZ",30,0.074618036250417,"B5C","210915-B5-WT-S008","E16.5","Neto1+/+"
"227","SVZ",40,0.223854108751251,"B5C","210915-B5-WT-S008","E16.5","Neto1+/+"
"228","All",70,0.298472145001668,"B5C","210915-B5-WT-S008","E16.5","Neto1+/+"
"229","MZ",19,0.0588504784767237,"B5C","210915-B5-WT-S010-2","E16.5","Neto1+/+"
"230","SVZ",19,0.176551435430171,"B5C","210915-B5-WT-S010-2","E16.5","Neto1+/+"
"231","All",38,0.235401913906895,"B5C","210915-B5-WT-S010-2","E16.5","Neto1+/+"
"232","MZ",20,0.0612366481119302,"B5C","210915-B5-WT-S012","E16.5","Neto1+/+"
"233","SVZ",12,0.183709944335791,"B5C","210915-B5-WT-S012","E16.5","Neto1+/+"
"234","All",32,0.244946592447721,"B5C","210915-B5-WT-S012","E16.5","Neto1+/+"
"235","MZ",10,0.0705971311019682,"B5C","210915-B5-WT-S014","E16.5","Neto1+/+"
"236","SVZ",13,0.211272296753684,"B5C","210915-B5-WT-S014","E16.5","Neto1+/+"
"237","All",23,0.281869427855652,"B5C","210915-B5-WT-S014","E16.5","Neto1+/+"
"238","MZ",20,0.0285304256251594,"B5C","210915-B5-WT-S016-1","E16.5","Neto1+/+"
"239","SVZ",21,0.0855912768754783,"B5C","210915-B5-WT-S016-1","E16.5","Neto1+/+"
"240","All",41,0.114121702500638,"B5C","210915-B5-WT-S016-1","E16.5","Neto1+/+"
"241","MZ",24,0.0832103400684192,"B5C","210915-B5-WT-S018","E16.5","Neto1+/+"
"242","SVZ",22,0.24846723922528,"B5C","210915-B5-WT-S018","E16.5","Neto1+/+"
"243","All",46,0.331677579293699,"B5C","210915-B5-WT-S018","E16.5","Neto1+/+"
"244","MZ",19,0.083176849968276,"B5C","210915-B5-WT-S020","E16.5","Neto1+/+"
"245","SVZ",25,0.249530549904828,"B5C","210915-B5-WT-S020","E16.5","Neto1+/+"
"246","All",44,0.332707399873104,"B5C","210915-B5-WT-S020","E16.5","Neto1+/+"
"247","MZ",30,0.0584737148501122,"B5C","210915-B5-WT-S022","E16.5","Neto1+/+"
"248","SVZ",23,0.174609009621863,"B5C","210915-B5-WT-S022","E16.5","Neto1+/+"
"249","All",53,0.233082724471975,"B5C","210915-B5-WT-S022","E16.5","Neto1+/+"
"250","MZ",25,0.0753548184535685,"B5C","210915-B5-WT-S024","E16.5","Neto1+/+"
"251","SVZ",24,0.224980213368568,"B5C","210915-B5-WT-S024","E16.5","Neto1+/+"
"252","All",49,0.300335031822136,"B5C","210915-B5-WT-S024","E16.5","Neto1+/+"
"253","MZ",25,0.0555726349252033,"B5C","210915-B5-WT-S026","E16.5","Neto1+/+"
"254","SVZ",17,0.167188859308874,"B5C","210915-B5-WT-S026","E16.5","Neto1+/+"
"255","All",42,0.222761494234077,"B5C","210915-B5-WT-S026","E16.5","Neto1+/+"
"256","MZ",23,0.0598771593592402,"B5C","210915-B5-WT-S028","E16.5","Neto1+/+"
"257","SVZ",18,0.179631478077721,"B5C","210915-B5-WT-S028","E16.5","Neto1+/+"
"258","All",41,0.239508637436961,"B5C","210915-B5-WT-S028","E16.5","Neto1+/+"
"259","MZ",19,0.0350547157593161,"B5C","210915-B5-WT-S030-1","E16.5","Neto1+/+"
"260","SVZ",16,0.105164147277948,"B5C","210915-B5-WT-S030-1","E16.5","Neto1+/+"
"261","All",35,0.140218863037264,"B5C","210915-B5-WT-S030-1","E16.5","Neto1+/+"
"262","MZ",22,0.043461777460901,"B5C","210915-B5-WT-S030-2","E16.5","Neto1+/+"
"263","SVZ",19,0.130385332382703,"B5C","210915-B5-WT-S030-2","E16.5","Neto1+/+"
"264","All",41,0.173847109843604,"B5C","210915-B5-WT-S030-2","E16.5","Neto1+/+"
"265","MZ",47,0.0614208436627181,"B3","3_HE_S002-1","E16.5","Neto1+/-"
"266","SVZ",36,0.183324808184143,"B3","3_HE_S002-1","E16.5","Neto1+/-"
"267","All",83,0.244745651846861,"B3","3_HE_S002-1","E16.5","Neto1+/-"
"268","MZ",64,0.0866242371517716,"B3","3_HE_S004-1","E16.5","Neto1+/-"
"269","SVZ",94,0.258754979363034,"B3","3_HE_S004-1","E16.5","Neto1+/-"
"270","All",158,0.345379216514806,"B3","3_HE_S004-1","E16.5","Neto1+/-"
"271","MZ",40,0.0444078727899477,"B3","3_HE_S004-2","E16.5","Neto1+/-"
"272","SVZ",30,0.133223618369843,"B3","3_HE_S004-2","E16.5","Neto1+/-"
"273","All",70,0.177631491159791,"B3","3_HE_S004-2","E16.5","Neto1+/-"
"274","MZ",59,0.0794594488523754,"B3","3_HE_S006-1","E16.5","Neto1+/-"
"275","SVZ",59,0.237841458389205,"B3","3_HE_S006-1","E16.5","Neto1+/-"
"276","All",118,0.31730090724158,"B3","3_HE_S006-1","E16.5","Neto1+/-"
"277","MZ",24,0.0439557564380139,"B3","3_HE_S006-2","E16.5","Neto1+/-"
"278","SVZ",35,0.131867269314042,"B3","3_HE_S006-2","E16.5","Neto1+/-"
"279","All",59,0.175823025752055,"B3","3_HE_S006-2","E16.5","Neto1+/-"
"280","MZ",41,0.069691851832471,"B3","3_HE_S008-1","E16.5","Neto1+/-"
"281","SVZ",62,0.208614020054814,"B3","3_HE_S008-1","E16.5","Neto1+/-"
"282","All",103,0.278305871887285,"B3","3_HE_S008-1","E16.5","Neto1+/-"
"283","MZ",41,0.0391331820173861,"B3","3_HE_S008-2","E16.5","Neto1+/-"
"284","SVZ",29,0.116763234149436,"B3","3_HE_S008-2","E16.5","Neto1+/-"
"285","All",70,0.155896416166823,"B3","3_HE_S008-2","E16.5","Neto1+/-"
"286","MZ",51,0.0672523073501612,"B3","3_HE_S010-1","E16.5","Neto1+/-"
"287","SVZ",60,0.200796174802624,"B3","3_HE_S010-1","E16.5","Neto1+/-"
"288","All",111,0.268048482152785,"B3","3_HE_S010-1","E16.5","Neto1+/-"
"289","MZ",48,0.0653308128544423,"B3","3_HE_S012-1","E16.5","Neto1+/-"
"290","SVZ",36,0.195512064939397,"B3","3_HE_S012-1","E16.5","Neto1+/-"
"291","All",84,0.26084287779384,"B3","3_HE_S012-1","E16.5","Neto1+/-"
"292","MZ",39,0.0513277647320465,"B3","3_HE_S014-1","E16.5","Neto1+/-"
"293","SVZ",26,0.153217208155363,"B3","3_HE_S014-1","E16.5","Neto1+/-"
"294","All",65,0.204544972887409,"B3","3_HE_S014-1","E16.5","Neto1+/-"
