"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"96",0,0.11368,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"97",5,0.35259,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"98",0,0.24384,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"99",6,0.31799,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"100",3,0.52558,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"101",1,0.11368,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"102",31,0.35259,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"103",15,0.24384,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"104",9,0.31799,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"105",10,0.52558,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"106",2,0.19157,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"107",22,0.51158,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"108",41,0.32872,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"109",108,0.46804,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"110",54,0.57254,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"111",1,0.19157,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"112",8,0.51158,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"113",3,0.32872,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"114",5,0.46804,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"115",4,0.57254,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"116",2,0.19157,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"117",39,0.51158,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"118",17,0.32872,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"119",16,0.46804,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"120",10,0.57254,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_008","Mafb-fl/+","P21"
"121",0,0.1455,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"122",26,0.38917,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"123",29,0.27873,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"124",52,0.33658,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"125",28,0.53642,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"126",0,0.1455,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"127",11,0.38917,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"128",4,0.27873,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"129",3,0.33658,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"130",3,0.53642,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"131",0,0.1455,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"132",32,0.38917,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"133",16,0.27873,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"134",12,0.33658,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
"135",4,0.53642,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_009","Mafb-fl/+","P21"
